Event Day,Aircraft Fleet,Aircraft Fleet Index,Aircraft Type,Airport,Usable
0,STRATEGIC,4,CH47,LEXG,0
0,STRATEGIC,4,CH47,LSGE,0
0,STRATEGIC,4,CH47,LXEZ,0
0,STRATEGIC,4,CH47,LYAX,0
0,STRATEGIC,4,CH47,MAHG,0
0,STRATEGIC,4,CH47,MBPB,0
0,STRATEGIC,4,CH47,MEPJ,0
0,STRATEGIC,4,CH47,MHMV,0
0,STRATEGIC,4,CH47,MQNA,0
0,STRATEGIC,4,CH47,MSET,0
0,STRATEGIC,4,CH47,MSQB,0
0,STRATEGIC,4,CH47,MUHJ,0
0,STRATEGIC,4,CH47,MYXZ,0
0,STRATEGIC,4,CH47,NKAK,0
0,STRATEGIC,4,CH47,NNGX,0
0,STRATEGIC,4,CH47,NRCH,0
0,STRATEGIC,4,CH47,NUEX,0
0,STRATEGIC,4,CH47,NVZR,0
0,STRATEGIC,4,CH47,NWXN,0
0,STRATEGIC,4,CH47,NZAS,0
0,STRATEGIC,4,CH47,OPA1,0
0,STRATEGIC,4,CH47,PCZP,0
0,STRATEGIC,4,CH47,PJVY,0
0,STRATEGIC,4,CH47,PNQS,0
0,STRATEGIC,4,CH47,PQWY,0
0,STRATEGIC,4,CH47,PRQE,0
0,STRATEGIC,4,CH47,PSXE,0
0,STRATEGIC,4,CH47,PTFL,0
0,STRATEGIC,4,CH47,QFQE,0
0,STRATEGIC,4,CH47,QJKL,0
0,STRATEGIC,4,CH47,QJVF,0
0,STRATEGIC,4,CH47,QKJA,0
0,STRATEGIC,4,CH47,QSEU,0
0,STRATEGIC,4,CH47,QYZH,0
0,STRATEGIC,4,CH47,RDRD,0
0,STRATEGIC,4,CH47,RKMF,0
0,STRATEGIC,4,CH47,RZQH,0
0,STRATEGIC,4,CH47,SBDW,0
0,STRATEGIC,4,CH47,SCEY,0
0,STRATEGIC,4,CH47,SEA1,0
0,STRATEGIC,4,CH47,SGBP,0
0,STRATEGIC,4,CH47,SHYQ,0
0,STRATEGIC,4,CH47,SMYU,0
0,STRATEGIC,4,CH47,STRL,0
0,STRATEGIC,4,CH47,SXHT,0
0,STRATEGIC,4,CH47,TDHV,0
0,STRATEGIC,4,CH47,THWA,0
0,STRATEGIC,4,CH47,TKXA,0
0,STRATEGIC,4,CH47,TMKH,0
0,STRATEGIC,4,CH47,TYFR,0
0,STRATEGIC,4,CH47,UGZX,0
0,STRATEGIC,4,CH47,UHGN,0
0,STRATEGIC,4,CH47,UHHZ,0
0,STRATEGIC,4,CH47,ULLT,0
0,STRATEGIC,4,CH47,UMXB,0
0,STRATEGIC,4,CH47,VDYD,0
0,STRATEGIC,4,CH47,VGHV,0
0,STRATEGIC,4,CH47,VKAG,0
0,STRATEGIC,4,CH47,VLSB,0
0,STRATEGIC,4,CH47,VRJT,0
0,STRATEGIC,4,CH47,VSMR,0
0,STRATEGIC,4,CH47,VWLB,0
0,STRATEGIC,4,CH47,VYHK,0
0,STRATEGIC,4,CH47,WEAS,0
0,STRATEGIC,4,CH47,WSVC,0
0,STRATEGIC,4,CH47,WWYK,0
0,STRATEGIC,4,CH47,XBGX,0
0,STRATEGIC,4,CH47,XDAT,0
0,STRATEGIC,4,CH47,XLWU,0
0,STRATEGIC,4,CH47,XQDT,0
0,STRATEGIC,4,CH47,XUMU,0
0,STRATEGIC,4,CH47,YAQF,0
0,STRATEGIC,4,CH47,YTPM,0
0,STRATEGIC,4,CH47,YWHG,0
0,STRATEGIC,4,CH47,ZAWN,0
0,STRATEGIC,4,CH47,ZFKN,0
0,STRATEGIC,4,CH47,ZHTV,0
0,STRATEGIC,4,CH47,ZJXD,0
0,STRATEGIC,4,CH47,ZNRE,0
0,STRATEGIC,4,CH47,ZRCE,0
0,STRATEGIC,5,KC-10,AEDY,0
0,STRATEGIC,5,KC-10,AGGN,0
0,STRATEGIC,5,KC-10,AJJY,0
0,STRATEGIC,5,KC-10,AJXF,0
0,STRATEGIC,5,KC-10,AQLM,0
0,STRATEGIC,5,KC-10,ASHE,0
0,STRATEGIC,5,KC-10,ATXK,0
0,STRATEGIC,5,KC-10,AVXV,0
0,STRATEGIC,5,KC-10,AWUB,0
0,STRATEGIC,5,KC-10,BAEY,0
0,STRATEGIC,5,KC-10,BBJM,0
0,STRATEGIC,5,KC-10,BJHZ,0
0,STRATEGIC,5,KC-10,BPWZ,0
