Ship Type,Berth Type,Commodity Class,Transfer Rate
CLF,BBULK/AMMO,MARINE-PREPO,3500
CLF,BBULK/AMMO,ARMY-PREPO,0
CLF,BBULK/AMMO,AIRBORNE,0
CLF,BBULK/CONTNR,AF-AIRCRAFT,0
CLF,BBULK/CONTNR,AF-SUPPORT,1800
CLF,BBULK/CONTNR,AF-PREPO,1800
CLF,BBULK/CONTNR,MARINE-PREPO,0
CLF,BBULK/CONTNR,ARMY-PREPO,0
CLF,BBULK/CONTNR,AIRBORNE,0
CLF,BBULK/RORO,AF-AIRCRAFT,0
CLF,BBULK/RORO,AF-SUPPORT,1800
CLF,BBULK/RORO,AF-PREPO,1800
CLF,BBULK/RORO,MARINE-PREPO,0
CLF,BBULK/RORO,ARMY-PREPO,0
CLF,BBULK/RORO,AIRBORNE,0
CLF,BREAKBULK,AF-AIRCRAFT,0
CLF,BREAKBULK,AF-SUPPORT,1800
CLF,BREAKBULK,AF-PREPO,1800
CLF,BREAKBULK,MARINE-PREPO,0
CLF,BREAKBULK,ARMY-PREPO,0
CLF,BREAKBULK,AIRBORNE,0
CLF,CONT/AMMO,AF-AIRCRAFT,0
CLF,CONT/AMMO,AF-SUPPORT,0
CLF,CONT/AMMO,AF-PREPO,0
CLF,CONT/AMMO,MARINE-PREPO,3500
CLF,CONT/AMMO,ARMY-PREPO,0
CLF,CONT/AMMO,AIRBORNE,0
CLF,CONTAINER,AF-AIRCRAFT,0
CLF,CONTAINER,AF-SUPPORT,1800
CLF,CONTAINER,AF-PREPO,1800
CLF,CONTAINER,MARINE-PREPO,3500
CLF,CONTAINER,ARMY-PREPO,0
CLF,CONTAINER,AIRBORNE,0
CLF,DOCK,AF-AIRCRAFT,0
CLF,DOCK,AF-SUPPORT,0
CLF,DOCK,AF-PREPO,0
CLF,DOCK,MARINE-PREPO,0
CLF,DOCK,ARMY-PREPO,0
CLF,DOCK,AIRBORNE,0
CLF,GENERAL PURP,AF-AIRCRAFT,0
CLF,GENERAL PURP,AF-SUPPORT,1800
CLF,GENERAL PURP,AF-PREPO,1800
CLF,GENERAL PURP,MARINE-PREPO,3500
CLF,GENERAL PURP,ARMY-PREPO,5000
CLF,GENERAL PURP,AIRBORNE,0
CLF,INTRA WATER,AF-AIRCRAFT,0
CLF,INTRA WATER,AF-SUPPORT,0
CLF,INTRA WATER,AF-PREPO,0
CLF,INTRA WATER,MARINE-PREPO,0
CLF,INTRA WATER,ARMY-PREPO,0
CLF,INTRA WATER,AIRBORNE,0
CLF,JLOTS,AF-AIRCRAFT,0
