Name,Active,Quantity,CraneType,SeaportName,GeolocCode,BerthName,BerthType,FromDay,ToDay,NumBerthsServed,BreakbulkOnloadRate,BreakbulkOffloadRate,ContainerOnloadRate,ContainerOffloadRate,AvailableForMilitary
CHCYBBULK/RORO03_Crane,true,1,MOBILE,BREMERHAVEN,CHCY,CHCYBBULK/RORO03,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
CHCYGENERAL PU01_Crane,true,1,MOBILE,BREMERHAVEN,CHCY,CHCYGENERAL PU01,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
CHCYGENERAL PU02_Crane,true,1,MOBILE,BREMERHAVEN,CHCY,CHCYGENERAL PU02,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
CHCYGENERAL PU03_Crane,true,1,MOBILE,BREMERHAVEN,CHCY,CHCYGENERAL PU03,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
CWCPVISA      01_Crane,true,1,MOBILE,CADIZ,CWCP,N/A,N/A,-999,8192,1,5600,5600,1400,1400,true
CWCPVISA      01_Crane,true,1,MOBILE,CADIZ,CWCP,CWCPVISA      01,VISA,-999,8192,1,5600,5600,1400,1400,true
CWGVVISA      01_Crane,true,1,MOBILE,CAGAYAN DE ORO,CWGV,N/A,N/A,-999,8192,1,5600,5600,1400,1400,true
CWGVVISA      01_Crane,true,1,MOBILE,CAGAYAN DE ORO,CWGV,CWGVVISA      01,VISA,-999,8192,1,5600,5600,1400,1400,true
gantry crane-DKSD Terminal-19779,true,10,GANTRY,CHARLESTON,DKSD,N/A,N/A,-999,8192,1,8000,8000,288,288,true
gantry crane-DKSD Terminal-19779,true,10,GANTRY,CHARLESTON,DKSD,Charleston-all-purpose berth-DKSD -19778,ALL-PURPOSE,-999,8192,1,8000,8000,288,288,true
DRUGBREAKBULK 01_Crane,true,1,MOBILE,CHINHAE,DRUG,N/A,N/A,-999,8192,1,1800,1800,450,450,true
DRUGGENERAL PU01_Crane,true,1,MOBILE,CHINHAE,DRUG,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
DRUGBREAKBULK 01_Crane,true,1,MOBILE,CHINHAE,DRUG,DRUGBREAKBULK 01,BREAKBULK,-999,8192,1,1800,1800,450,450,true
DRUGGENERAL PU01_Crane,true,1,MOBILE,CHINHAE,DRUG,DRUGGENERAL PU01,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
EDMEVISA      01_Crane,true,1,MOBILE,COLOMBO,EDME,N/A,N/A,-999,8192,1,5600,5600,1400,1400,true
EDMEVISA      01_Crane,true,1,MOBILE,COLOMBO,EDME,EDMEVISA      01,VISA,-999,8192,1,5600,5600,1400,1400,true
EGNNBBULK/AMMO01_Crane,true,1,MOBILE,CONCORD,EGNN,N/A,N/A,-999,8192,1,3500,3500,875,875,true
EGNNBBULK/AMMO02_Crane,true,1,MOBILE,CONCORD,EGNN,N/A,N/A,-999,8192,1,3500,3500,875,875,true
EGNNCONT/AMMO 01_Crane,true,1,MOBILE,CONCORD,EGNN,N/A,N/A,-999,8192,1,7000,7000,1750,1750,true
EGNNBBULK/AMMO01_Crane,true,1,MOBILE,CONCORD,EGNN,EGNNBBULK/AMMO01,BBULK/AMMO,-999,8192,1,3500,3500,875,875,true
EGNNBBULK/AMMO02_Crane,true,1,MOBILE,CONCORD,EGNN,EGNNBBULK/AMMO02,BBULK/AMMO,-999,8192,1,3500,3500,875,875,true
EGNNCONT/AMMO 01_Crane,true,1,MOBILE,CONCORD,EGNN,EGNNCONT/AMMO 01,CONT/AMMO,-999,8192,1,7000,7000,1750,1750,true
ENCNBBULK/RORO01_Crane,true,1,MOBILE,CORPUS CHRISTI NA,ENCN,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ENCNBBULK/RORO02_Crane,true,1,MOBILE,CORPUS CHRISTI NA,ENCN,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ENCNBREAKBULK 01_Crane,true,1,MOBILE,CORPUS CHRISTI NA,ENCN,N/A,N/A,-999,8192,1,1800,1800,450,450,true
ENCNGENERAL PU01_Crane,true,1,MOBILE,CORPUS CHRISTI NA,ENCN,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
ENCNBBULK/RORO01_Crane,true,1,MOBILE,CORPUS CHRISTI NA,ENCN,ENCNBBULK/RORO01,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ENCNBBULK/RORO02_Crane,true,1,MOBILE,CORPUS CHRISTI NA,ENCN,ENCNBBULK/RORO02,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
ENCNBREAKBULK 01_Crane,true,1,MOBILE,CORPUS CHRISTI NA,ENCN,ENCNBREAKBULK 01,BREAKBULK,-999,8192,1,1800,1800,450,450,true
ENCNGENERAL PU01_Crane,true,1,MOBILE,CORPUS CHRISTI NA,ENCN,ENCNGENERAL PU01,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
EZMUVISA      01_Crane,true,1,MOBILE,DAKAR,EZMU,N/A,N/A,-999,8192,1,5600,5600,1400,1400,true
EZMUVISA      01_Crane,true,1,MOBILE,DAKAR,EZMU,EZMUVISA      01,VISA,-999,8192,1,5600,5600,1400,1400,true
FGDDBBULK/RORO01_Crane,true,1,MOBILE,DIEGO GARCIA,FGDD,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
FGDDGENERAL PU01_Crane,true,1,MOBILE,DIEGO GARCIA,FGDD,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
FGDDBBULK/RORO01_Crane,true,1,MOBILE,DIEGO GARCIA,FGDD,FGDDBBULK/RORO01,BBULK/RORO,-999,8192,1,9000,9000,2250,2250,true
FGDDGENERAL PU01_Crane,true,1,MOBILE,DIEGO GARCIA,FGDD,FGDDGENERAL PU01,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
Container: FGTW berth container 1,true,1,CONTAINER,DJERBA,FGTW,N/A,N/A,-999,8192,1,4000,4000,144,144,true
Container: FGTW berth general purpose 1,true,1,CONTAINER,DJERBA,FGTW,N/A,N/A,-999,8192,1,4000,4000,144,144,true
Gantry: FGTW berth container 1,true,1,GANTRY,DJERBA,FGTW,N/A,N/A,-999,8192,1,8000,8000,288,288,true
Gantry: FGTW berth general purpose 1,true,1,GANTRY,DJERBA,FGTW,N/A,N/A,-999,8192,1,8000,8000,288,288,true
MobCranes: DJERBA -FGTW-PRT,true,2,MOBILE,DJERBA,FGTW,N/A,N/A,-999,8192,2,3000,3000,100,100,true
Container: FGTW berth container 1,true,1,CONTAINER,DJERBA,FGTW,FGTW berth container,CONTAINER,-999,8192,1,4000,4000,144,144,true
Gantry: FGTW berth container 1,true,1,GANTRY,DJERBA,FGTW,FGTW berth container,CONTAINER,-999,8192,1,8000,8000,288,288,true
MobCranes: DJERBA -FGTW-PRT,true,2,MOBILE,DJERBA,FGTW,FGTW berth container,CONTAINER,-999,8192,2,3000,3000,100,100,true
Container: FGTW berth general purpose 1,true,1,CONTAINER,DJERBA,FGTW,FGTW berth general purpose,GENERAL PURP,-999,8192,1,4000,4000,144,144,true
Gantry: FGTW berth general purpose 1,true,1,GANTRY,DJERBA,FGTW,FGTW berth general purpose,GENERAL PURP,-999,8192,1,8000,8000,288,288,true
MobCranes: DJERBA -FGTW-PRT,true,2,MOBILE,DJERBA,FGTW,FGTW berth general purpose,GENERAL PURP,-999,8192,2,3000,3000,100,100,true
FMAZVISA      01_Crane,true,1,MOBILE,DUBAI,FMAZ,N/A,N/A,-999,8192,1,5600,5600,1400,1400,true
FMAZVISA      01_Crane,true,1,MOBILE,DUBAI,FMAZ,FMAZVISA      01,VISA,-999,8192,1,5600,5600,1400,1400,true
FNLDGENERAL PU01_Crane,true,1,MOBILE,DURBAN,FNLD,N/A,N/A,-999,8192,1,9000,9000,2250,2250,true
FNLDGENERAL PU01_Crane,true,1,MOBILE,DURBAN,FNLD,FNLDGENERAL PU01,GENERAL PURP,-999,8192,1,9000,9000,2250,2250,true
FNSHVISA      01_Crane,true,1,MOBILE,DUTCH HARBOR,FNSH,N/A,N/A,-999,8192,1,5600,5600,1400,1400,true
FNSHVISA      01_Crane,true,1,MOBILE,DUTCH HARBOR,FNSH,FNSHVISA      01,VISA,-999,8192,1,5600,5600,1400,1400,true
gantry crane-FQZF Terminal-19856,true,10,GANTRY,EARLE NWS,FQZF,N/A,N/A,-999,8192,1,8000,8000,288,288,true
gantry crane-FQZF Terminal-19856,true,10,GANTRY,EARLE NWS,FQZF,all-purpose berth-FQZF Terminal-19855,ALL-PURPOSE,-999,8192,1,8000,8000,288,288,true
