geoloc,berthid,berthtype,draft,avail,len,cap,ute,lat,lon
ZBES,WILMINGTON berth group-ZBES,1,55,0,5000,99999,1,34.233334,-77.95
ZMJJ,ZMJJVISA      01,18,99,0,9999,99999,1,22.6,114.26667
ZNMC,ZNMCBBULK/RORO01,5,33,0,1968,99999,1,35.45,139.65
ZNMC,ZNMCBBULK/RORO02,5,26,0,1148,99999,1,35.45,139.65
ZNMC,ZNMCBBULK/RORO03,5,32,0,1100,99999,1,35.45,139.65
ZNMC,ZNMCBBULK/RORO04,5,32,0,940,99999,1,35.45,139.65
ZNMC,ZNMCGENERAL PU01,10,40,0,1968,99999,1,35.45,139.65
ZNMC,ZNMCGENERAL PU02,10,40,0,1640,99999,1,35.45,139.65
ZNMC,ZNMCGENERAL PU03,10,36,0,2033,99999,1,35.45,139.65
ZNMC,ZNMCGENERAL PU04,10,42,0,984,99999,1,35.45,139.65
ZNMC,ZNMCGENERAL PU05,10,42,0,984,99999,1,35.45,139.65
ZNMC,ZNMCRORO      01,15,24,0,1100,99999,1,35.45,139.65
ZNMC,ZNMCVISA      01,18,99,0,9999,99999,1,35.45,139.65
ZSJC,ZSJCVISA      01,18,99,0,9999,99999,1,30.583334,121.1
