Airport,AirportName,RampId,RampName,ACType,ACName,MissionType,MissionName,ServiceTime,ParkingMOG,WorkingMOG,HotCargoFlag,ExclusiveFlag
GUQE,FORBES FLD,1,FORBES FIELD -GUQE-JAP-PARKING,3,C-5A,4,DOWNLOAD,3.25,1.6666666,1.6666666,1,0
GUQE,FORBES FLD,1,FORBES FIELD -GUQE-JAP-PARKING,5,KC-10,2,UPLOAD,5,4.1666665,4.1666665,1,0
GUQE,FORBES FLD,1,FORBES FIELD -GUQE-JAP-PARKING,5,KC-10,4,DOWNLOAD,3,4.1666665,4.1666665,1,0
HNTK,MATMATA,1,GABES -HNTK-APT-parking,1,B-747P,2,UPLOAD,3,2.631579,2.631579,1,0
HNTK,MATMATA,1,GABES -HNTK-APT-parking,1,B-747P,4,DOWNLOAD,3,2.631579,2.631579,1,0
HNTK,MATMATA,1,GABES -HNTK-APT-parking,2,C-17,2,UPLOAD,2.25,5,5,1,0
HNTK,MATMATA,1,GABES -HNTK-APT-parking,2,C-17,4,DOWNLOAD,2.25,5,5,1,0
HNTK,MATMATA,1,GABES -HNTK-APT-parking,3,C-5A,2,UPLOAD,3.75,1.6666666,1.6666666,1,0
HNTK,MATMATA,1,GABES -HNTK-APT-parking,3,C-5A,4,DOWNLOAD,3.25,1.6666666,1.6666666,1,0
HNTK,MATMATA,1,GABES -HNTK-APT-parking,5,KC-10,2,UPLOAD,5,4.1666665,4.1666665,1,0
HNTK,MATMATA,1,GABES -HNTK-APT-parking,5,KC-10,4,DOWNLOAD,3,4.1666665,4.1666665,1,0
JEAH,DJERBA,1,JERBA-ZARZIS -JEAH-IAP-parking,1,B-747P,2,UPLOAD,3,1.0526316,1.0526316,1,0
JEAH,DJERBA,1,JERBA-ZARZIS -JEAH-IAP-parking,1,B-747P,4,DOWNLOAD,3,1.0526316,1.0526316,1,0
JEAH,DJERBA,1,JERBA-ZARZIS -JEAH-IAP-parking,2,C-17,2,UPLOAD,2.25,2,2,1,0
JEAH,DJERBA,1,JERBA-ZARZIS -JEAH-IAP-parking,2,C-17,4,DOWNLOAD,2.25,2,2,1,0
JEAH,DJERBA,1,JERBA-ZARZIS -JEAH-IAP-parking,3,C-5A,2,UPLOAD,3.75,0.6666667,0.6666667,1,0
JEAH,DJERBA,1,JERBA-ZARZIS -JEAH-IAP-parking,3,C-5A,4,DOWNLOAD,3.25,0.6666667,0.6666667,1,0
JEAH,DJERBA,1,JERBA-ZARZIS -JEAH-IAP-parking,5,KC-10,2,UPLOAD,5,1.6666666,1.6666666,1,0
