Model,FedTime,AssetID,AssetType,FromLocation,RampName,FromTime,MissionID,Mode,ToLocation,ToTime,CrewDutyLeft,CrewStatus,GroundDelay,LoadDelay,FuelAmount,ChannelMissionId,ConfigurationChange,ReconfigureTime
MAIN,52.65,KC10-XDAT013,KC-10,FJXT,DOVER AFB -FJXT-MAP-PARKING,52.638832,KC10-XDAT013-D0051R0002S01,AIR,MQNA,52.85597,0.5520833,REST,0,0,0,,false,0
MAIN,52.7,C17-DKFX006,C-17,FUQN,THYNA-EL MAOU -FUQN-IAP-parking,52.66861,C17-DKFX006-D0049R0003S01,AIR,HNTK,52.68061,0.26634836,WORK,0,0,0,,false,0
MAIN,52.7,KC10-XDAT014,KC-10,FJXT,DOVER AFB -FJXT-MAP-PARKING,52.6691,KC10-XDAT014-D0051R0002S01,AIR,MQNA,52.88624,0.5520833,REST,0,0,0,,false,0
MAIN,52.8,B747-400-XDAT013,B-747P,TYFR,RAMP1,52.77185,B747-400-XDAT013-D0051R0001S01,AIR,FUQN,52.87269,0.5520833,REST,0,0,0,,false,0
MAIN,52.8,C17-PQWY004,C-17,MQNA,RAMP1,52.781994,C17-PQWY004-D0050R0003S01,AIR,HNTK,52.97253,0.22835761,WORK,0,0,0,,false,0
MAIN,52.8,B747-400-XDAT009,B-747P,TYFR,RAMP1,52.783566,B747-400-XDAT009-D0049R0006S01,AIR,XDAT,53.26765,0.5520833,REST,0,0,0,,false,0
MAIN,52.85,C17-DKFX003,C-17,MQNA,RAMP1,52.824516,C17-DKFX003-D0050R0008S01,AIR,FUQN,53.016502,0.22835761,WORK,0,0,0,,false,0
MAIN,52.85,C17-DKFX007,C-17,FUQN,THYNA-EL MAOU -FUQN-IAP-parking,52.8251,C17-DKFX007-D0050R0003S01,AIR,HNTK,52.8371,0.5520833,REST,0,0,0,,false,0
MAIN,52.85,C17-DKFX004,C-17,MQNA,RAMP1,52.847668,C17-DKFX004-D0050R0005S01,AIR,FUQN,53.039654,0.22835761,WORK,0,0,0,,false,0
MAIN,52.9,C17-XDAT003,C-17,HNTK,GABES -HNTK-APT-parking,52.85958,C17-XDAT003-D0043R0004S03,AIR,PTFL,53.29238,0.5520833,REST,0,0,0,,false,0
MAIN,52.95,B747-400-XDAT010,B-747P,TYFR,RAMP1,52.912865,B747-400-XDAT010-D0050R0004S01,AIR,XDAT,53.39695,0.5520833,REST,0,0,0,,false,0
MAIN,52.95,KC10-XDAT013,KC-10,MQNA,RAMP1,52.91847,KC10-XDAT013-D0051R0002S01,AIR,HNTK,53.098156,0.27244824,WORK,0,0,0,,false,0
MAIN,52.95,C17-DKFX007,C-17,HNTK,GABES -HNTK-APT-parking,52.93085,C17-DKFX007-D0050R0003S01,AIR,MQNA,53.148968,0.44633055,WORK,0,0,0,,false,0
MAIN,52.95,KC10-XDAT014,KC-10,MQNA,RAMP1,52.94874,KC10-XDAT014-D0051R0002S01,AIR,HNTK,53.128426,0.27244824,WORK,0,0,0,,false,0
MAIN,53,B747-400-XDAT013,B-747P,FUQN,THYNA-EL MAOU -FUQN-IAP-parking,52.99769,B747-400-XDAT013-D0051R0001S01,AIR,TYFR,53.114243,0.3262442,WORK,0,0,0,,false,0
MAIN,53.05,B747-400-XDAT007,B-747P,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,53,B747-400-XDAT007-D0053R0006S01,AIR,LEXG,53.189186,0.5520833,CHANGE,0,0,0,,false,0
MAIN,53.1,KC10-XDAT008,KC-10,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,53.05142,KC10-XDAT008-D0050R0007S01,AIR,XDAT,53.292015,0.5520833,REST,0,0,0,,false,0
