Model,FedTime,ToTime,ToPurpose,ToLocation,RampName,FromTime,FromPurpose,FromLocation,Mode,AssetType,AssetID,Fleet,CrewType,CrewID,CrewAugmentedSize,CrewAugmentedDuty,MissionID,EarliestReleaseTime,Craf,Contam,Hot,Acl,CrewDutyLeft,OnGroundTime,ServiceTime,ScheduleDelay,CrewRestTime,FuelAmount,ChannelMissionId,SaamId,SaamLegId,ReconfigureTime
MAIN,154.75,154.74557,HOME,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,154.50497,ENROUTE,PTFL,AIR,KC-10,KC10-XDAT027,STRATEGIC,"","",false,false,KC10-XDAT027-D0151R0009S01,154.80807,false,false,false,84.675,0.008546814,0.0625,0.0625,0,0,0,,"","",0
MAIN,154.85,154.80807,HOME,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,154.56747,ENROUTE,PTFL,AIR,KC-10,KC10-XDAT031,STRATEGIC,"","",false,false,KC10-XDAT031-D0151R0009S01,154.87057,false,false,false,84.675,0.008546814,0.0625,0.0625,0,0,0,,"","",0
MAIN,155.25,155.21019,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,155,HOME,XDAT,AIR,KC-10,KC10-XDAT038,STRATEGIC,"","",false,false,KC10-XDAT038-D0155R0006S01,155.83519,false,false,false,84.675,0.34189898,0.625,0.20833333,0,0.4166667,0,,"","",0
MAIN,155.25,155.21019,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,155,HOME,XDAT,AIR,KC-10,KC10-XDAT006,STRATEGIC,"","",false,false,KC10-XDAT006-D0155R0007S01,155.83519,false,false,false,84.675,0.34189898,0.625,0.20833333,0,0.4166667,0,,"","",0
MAIN,155.25,155.21019,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,155,HOME,XDAT,AIR,KC-10,KC10-XDAT035,STRATEGIC,"","",false,false,KC10-XDAT035-D0155R0008S01,155.83519,false,false,false,84.675,0.34189898,0.625,0.20833333,0,0.4166667,0,,"","",0
MAIN,155.25,155.21019,LOAD,FJXT,DOVER AFB -FJXT-MAP-PARKING,155,HOME,XDAT,AIR,KC-10,KC10-XDAT025,STRATEGIC,"","",false,false,KC10-XDAT025-D0155R0007S01,155.89769,false,false,false,84.675,0.34189898,0.6875,0.20833333,0.0625,0.4166667,0,,"","",0
MAIN,155.3,155.27318,ENROUTE,MQNA,RAMP1,155.06921,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT021,STRATEGIC,"","",false,false,KC10-XDAT021-D0153R0008S01,155.33568,false,false,false,84.675,0.34811538,0.0625,0.0625,0,0,0,,"","",0
MAIN,155.35,155.33568,ENROUTE,MQNA,RAMP1,155.13171,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT024,STRATEGIC,"","",false,false,KC10-XDAT024-D0153R0008S01,155.39818,false,false,false,84.675,0.34811538,0.0625,0.0625,0,0,0,,"","",0
MAIN,155.35,155.33568,ENROUTE,MQNA,RAMP1,155.13171,UNLOAD,HNTK,AIR,KC-10,KC10-XDAT022,STRATEGIC,"","",false,false,KC10-XDAT022-D0153R0008S01,155.39818,false,false,false,84.675,0.34811538,0.0625,0.0625,0,0,0,,"","",0
MAIN,155.4,155.37057,HOME,XDAT,TRAVIS AFB -XDAT-MAP-PARKING,155.12997,ENROUTE,PTFL,AIR,KC-10,KC10-XDAT012,STRATEGIC,"","",false,false,KC10-XDAT012-D0152R0008S01,155.43307,false,false,false,84.675,0.31148726,0.0625,0.0625,0,0,0,,"","",0
MAIN,155.6,155.57613,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,155.33568,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT021,STRATEGIC,"","",false,false,KC10-XDAT021-D0153R0008S01,156.20113,false,false,false,84.675,0.045174956,0.625,0.0625,0,0.5625,0,,"","",0
MAIN,155.65,155.63863,ENROUTE,PTFL,MC GUIRE AFB -PTFL-MAP-PARKING,155.39818,ENROUTE,MQNA,AIR,KC-10,KC10-XDAT024,STRATEGIC,"","",false,false,KC10-XDAT024-D0153R0008S01,156.26363,false,false,false,84.675,0.045174956,0.625,0.0625,0,0.5625,0,,"","",0
