Model,FedTime,MissionId,UID,Stons,Pax,Length,Width,Height,X,Y,Hazmat,CompartmentName,LegId,SeatCode
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT9_1,1,0,108,88,60,468,15,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT10_1,1,0,108,88,60,696,109,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT11_1,1,0,108,88,60,354,15,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT12_1,1,0,108,88,60,468,109,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT13_1,1,0,108,88,60,810,15,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT14_1,1,0,108,88,60,354,109,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT15_1,1,0,108,88,60,924,15,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT16_1,1,0,108,88,60,810,109,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT17_1,1,0,108,88,60,240,109,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT18_1,1,0,108,88,60,924,109,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT19_1,1,0,108,88,60,126,109,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT20_1,1,0,108,88,60,240,15,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT21_1,1,0,108,88,60,1038,15,false,AFT/CENTER/LOWER,2,
MAIN,27,KC10-XDAT037-D0025R0001S01,1:0000011.PLT22_1,1,0,108,88,60,126,15,false,AFT/CENTER/LOWER,2,
