Model,FedTime,AssetID,MissionID,AssetLocation,AssetType,LocationType,ReleaseTime,BerthName,Contam
MAIN,96.7,6828624,6828624-4,VKNP,CONT-NSS,POD,96.666664,BG Safaqis cont-1 berth,false
MAIN,97.65,7224306,7224306-4,VKNP,CONT-NSS,POD,97.625,BG Safaqis cont-1 berth,false
MAIN,97.9,7026259,7026259-4,RUAM,CONT-NSS,POE,97.890976,Unconstrained,false
MAIN,98.65,7218462,7218462-3,VKNP,CONT-NSS,POD,98.625,BG Safaqis cont-1 berth,false
MAIN,99.25,7802718,7802718-1,VKNP,CONT-NSS,POD,99.208336,BG Safaqis cont-1 berth,false
MAIN,100.2,7325253,7325253-3,RUAM,FSS,POE,100.18611,Unconstrained,false
MAIN,102.05,6905252,6905252-3,VKNP,CONT-NSS,POD,102,BG Safaqis cont-1 berth,false
MAIN,102.05,9085522,9085522-1,SEA1,VISA CONT,POD,102,N/A,false
MAIN,102.35,7304792,7304792-3,VKNP,BARGE(T-AKB),POD,102.333336,BG Safaqis cont-1 berth,false
MAIN,103.15,8902395,8902395-4,RRRK,CONT-NSS,POE,103.125,NEW YORK berth group-RRRK,false
MAIN,103.3,7233278,7233278-3,VKNP,CONT-NSS,POD,103.25,BG Safaqis cont-1 berth,false
MAIN,104,6820579,6820579-2,VKNP,CONT-NSS,POD,103.958336,BG Safaqis cont-1 berth,false
MAIN,104.3,6708379,6708379-3,VKNP,CONT-NSS,POD,104.25,BG Safaqis cont-2 berth,false
MAIN,104.35,7320411,7320411-4,RRRK,BARGE(T-AKB),POE,104.333336,NEW YORK berth group-RRRK,false
MAIN,106,7315571,7315571-4,RUAM,FSS,POE,105.96667,Unconstrained,false
MAIN,106.3,7026259,7026259-4,VKNP,CONT-NSS,POD,106.291664,BG Safaqis cont-1 berth,false
MAIN,106.8,7325253,7325253-3,VKNP,FSS,POD,106.791664,BG Safaqis cont-1 berth,false
MAIN,106.9,7319632,7319632-1,RUAM,FSS,POE,106.87361,Unconstrained,false
