Model,FedTime,AssetID,MissionID,AssetLocation,AssetType,LocationType,ReleaseTime,RampName,Departed,Contam
MAIN,57.85,KC10-XDAT018,KC10-XDAT018-D0056R0001S01,MQNA,KC-10,PLACE_HOLDER,57.802322,RAMP1,false,false
MAIN,57.85,KC10-XDAT019,KC10-XDAT019-D0056R0001S01,MQNA,KC-10,PLACE_HOLDER,57.802322,RAMP1,false,false
MAIN,57.85,B747-400-XDAT013,B747-400-XDAT013-D0057R0003S01,UHGN,B-747P,PLACE_HOLDER,57.83274,ROBERT GRAY AAF -UHGN-MAP-PARKING,false,false
MAIN,57.9,B747-400-XDAT010,B747-400-XDAT010-D0057R0006S01,LEXG,B-747P,PLACE_HOLDER,57.898636,HUNTER AAF -LEXG-MAP-PARKING,false,false
MAIN,57.95,KC10-XDAT013,KC10-XDAT013-D0056R0003S01,HNTK,KC-10,PLACE_HOLDER,57.91951,GABES -HNTK-APT-parking,false,false
MAIN,57.95,KC10-XDAT014,KC10-XDAT014-D0056R0003S01,HNTK,KC-10,PLACE_HOLDER,57.91951,GABES -HNTK-APT-parking,false,false
MAIN,57.95,B747-400-XDAT007,B747-400-XDAT007-D0056R0007S01,FUQN,B-747P,PLACE_HOLDER,57.947807,THYNA-EL MAOU -FUQN-IAP-parking,false,false
MAIN,58,KC10-XDAT016,KC10-XDAT016-D0056R0001S01,HNTK,KC-10,PLACE_HOLDER,57.98201,GABES -HNTK-APT-parking,false,false
MAIN,58,KC10-XDAT017,KC10-XDAT017-D0056R0001S01,HNTK,KC-10,PLACE_HOLDER,57.98201,GABES -HNTK-APT-parking,false,false
MAIN,58.05,KC10-XDAT010,KC10-XDAT010-D0058R0006S01,XDAT,KC-10,PLACE_HOLDER,58,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,58.05,KC10-XDAT011,KC10-XDAT011-D0058R0006S01,XDAT,KC-10,PLACE_HOLDER,58,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,58.05,KC10-XDAT012,KC10-XDAT012-D0058R0005S01,XDAT,KC-10,PLACE_HOLDER,58,TRAVIS AFB -XDAT-MAP-PARKING,false,false
MAIN,58.05,KC10-XDAT015,KC10-XDAT015-D0058R0002S01,XDAT,KC-10,PLACE_HOLDER,58,TRAVIS AFB -XDAT-MAP-PARKING,false,false
