Event Day,Port,Fleet,Restriction
40,00XT,RRF,true
40,AAPV,RRF,true
40,ABFL,RRF,true
40,ADKH,RRF,true
40,ADLS,RRF,true
40,AELU,RRF,true
40,AEQT,RRF,false
40,AJGX,RRF,true
40,ALRF,RRF,true
40,AMCQ,RRF,true
40,APFD,RRF,true
40,APGW,RRF,true
40,AVBU,RRF,true
40,AVYX,RRF,false
40,BBNQ,RRF,true
40,BBNV,RRF,true
40,BQWA,RRF,true
40,BSRL,RRF,true
40,CHCY,RRF,true
40,CWCP,RRF,false
40,CWGV,RRF,true
40,DKSD,RRF,true
40,DRUG,RRF,true
40,EDME,RRF,false
40,EGNN,RRF,false
40,ENCN,RRF,true
40,EZMU,RRF,true
40,FGDB,RRF,true
40,FGDD,RRF,true
40,FGTW,RRF,true
40,FMAZ,RRF,true
40,FNLD,RRF,true
40,FNSH,RRF,true
40,FQZF,RRF,true
40,GPEN,RRF,true
40,GWZP,RRF,true
40,HAGC,RRF,true
40,HMGB,RRF,true
40,HNTS,RRF,true
40,HUPR,RRF,true
40,JJRP,RRF,true
40,JSSN,RRF,true
40,JTVH,RRF,true
40,JWJY,RRF,true
40,JWTD,RRF,true
40,JXKM,RRF,true
40,JYPN,RRF,true
40,KZPH,RRF,true
40,KZTZ,RRF,true
40,LCMT,RRF,true
40,LKPE,RRF,false
40,LRNC,RRF,true
40,LSGM,RRF,true
40,LUTP,RRF,true
40,LWEV,RRF,true
40,LYAP,RRF,true
40,LYRV,RRF,false
40,LYTM,RRF,true
40,MKAG,RRF,true
40,MLDL,RRF,true
40,MMGH,RRF,true
40,MZJK,RRF,true
40,NBDY,RRF,true
40,NLFL,RRF,true
40,NNWH,RRF,true
40,NPTU,RRF,true
40,NSAN,RRF,true
40,PAXM,RRF,true
40,PCFC,RRF,false
40,PCFG,RRF,true
40,PKVP,RRF,true
40,PPSH,RRF,true
40,QCFF,RRF,true
40,QHPB,RRF,true
40,QHPD,RRF,true
40,QHPF,RRF,true
40,QNPW,RRF,true
40,QTUP,RRF,true
40,RCYQ,RRF,true
40,RCYT,RRF,true
40,RELG,RRF,true
40,REPV,RRF,true
40,RGJW,RRF,true
40,RQNK,RRF,true
40,RRHU,RRF,true
40,RRRK,RRF,true
40,RUAM,RRF,true
40,RUAQ,RRF,true
40,RULV,RRF,true
40,SBEA,RRF,true
40,SBEQ,RRF,true
40,SEA1,RRF,true
40,SERU,RRF,true
40,SMXS,RRF,true
40,STRM,RRF,true
40,SVCN,RRF,true
40,SYZZ,RRF,true
40,TGWS,RRF,true
40,TKDW,RRF,true
40,TNVX,RRF,true
40,TNZY,RRF,true
40,TPPR,RRF,true
40,TPRW,RRF,true
40,TQKG,RRF,true
40,TRZP,RRF,true
40,TVJD,RRF,true
40,TVXA,RRF,true
40,TZL4,RRF,true
40,TZYR,RRF,true
40,UMXA,RRF,true
40,UNAP,RRF,true
40,UTAC,RRF,true
