Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
FAXN,STRATEGIC,B-747P,0,true,,,false
FAXN,STRATEGIC,C-17,0,true,,,false
FAXN,STRATEGIC,C-5A,0,true,,,false
FAXN,STRATEGIC,CH47,0,true,,,false
FAXN,STRATEGIC,KC-10,0,true,,,false
FBMV,STRATEGIC,B-747P,0,true,,,false
FBMV,STRATEGIC,C-17,0,true,,,false
FBMV,STRATEGIC,C-5A,0,true,,,false
FBMV,STRATEGIC,CH47,0,true,,,false
FBMV,STRATEGIC,KC-10,0,true,,,false
FBNV,STRATEGIC,B-747P,0,true,,,false
FBNV,STRATEGIC,C-17,0,true,,,false
FBNV,STRATEGIC,C-5A,0,true,,,false
FBNV,STRATEGIC,CH47,0,true,,,false
FBNV,STRATEGIC,KC-10,0,true,,,false
FERX,STRATEGIC,B-747P,0,true,,,false
FERX,STRATEGIC,C-17,0,true,,,false
FERX,STRATEGIC,C-5A,0,true,,,false
FERX,STRATEGIC,CH47,0,true,,,false
FERX,STRATEGIC,KC-10,0,true,,,false
FFAR,STRATEGIC,B-747P,0,true,,,false
FFAR,STRATEGIC,C-17,0,true,,,false
FFAR,STRATEGIC,C-5A,0,true,,,false
FFAR,STRATEGIC,CH47,0,true,,,false
FFAR,STRATEGIC,KC-10,0,true,,,false
FGDC,STRATEGIC,B-747P,0,true,,,false
FGDC,STRATEGIC,C-17,0,true,,,false
FGDC,STRATEGIC,C-5A,0,true,,,false
FGDC,STRATEGIC,CH47,0,true,,,false
FGDC,STRATEGIC,KC-10,0,true,,,false
FGTZ,STRATEGIC,B-747P,0,true,,,false
FGTZ,STRATEGIC,C-17,0,true,,,false
FGTZ,STRATEGIC,C-5A,0,true,,,false
FGTZ,STRATEGIC,CH47,0,true,,,false
FGTZ,STRATEGIC,KC-10,0,true,,,false
FGWB,STRATEGIC,B-747P,0,true,,,false
FGWB,STRATEGIC,C-17,0,true,,,false
FGWB,STRATEGIC,C-5A,0,true,,,false
FGWB,STRATEGIC,CH47,0,true,,,false
FGWB,STRATEGIC,KC-10,0,true,,,false
FJMK,STRATEGIC,B-747P,0,true,,,false
FJMK,STRATEGIC,C-17,0,true,,,false
FJMK,STRATEGIC,C-5A,0,true,,,false
FJMK,STRATEGIC,CH47,0,true,,,false
FJMK,STRATEGIC,KC-10,0,true,,,false
FJRP,STRATEGIC,B-747P,0,true,,,false
FJRP,STRATEGIC,C-17,0,true,,,false
FJRP,STRATEGIC,C-5A,0,true,,,false
FJRP,STRATEGIC,CH47,0,true,,,false
FJRP,STRATEGIC,KC-10,0,true,,,false
FJXT,STRATEGIC,B-747P,0,true,,,false
FJXT,STRATEGIC,C-17,0,true,,,false
FJXT,STRATEGIC,C-5A,0,true,,,false
FJXT,STRATEGIC,CH47,0,true,,,false
FJXT,STRATEGIC,KC-10,0,true,,,false
FKNN,STRATEGIC,B-747P,0,true,,,false
FKNN,STRATEGIC,C-17,0,true,,,false
FKNN,STRATEGIC,C-5A,0,true,,,false
FKNN,STRATEGIC,CH47,0,true,,,false
FKNN,STRATEGIC,KC-10,0,true,,,false
FMJN,STRATEGIC,B-747P,0,true,,,false
FMJN,STRATEGIC,C-17,0,true,,,false
FMJN,STRATEGIC,C-5A,0,true,,,false
FMJN,STRATEGIC,CH47,0,true,,,false
FMJN,STRATEGIC,KC-10,0,true,,,false
