KEY,SHAPE_ROW,CountryState,CountryStateCode,Length,LineStyle,LineWidth,LineColor,RoadRate,RoadRateOfMarch,One-way,CivilianTraffic,AvailableMilitary,type,From,To,RoadClass,MSR,DisplayName,Modified,WeightLimit,WidthLimit,HeightLimit,MLCLimit
I10 1066-4632,4632,04,04,,,,,,,,,,,intersection 2565,intersection 50,,,,,,,,
I10 1067-2790,2790,04,04,,,,,,,,,,,intersection 1945,intersection 2565,,,,,,,,
I10 1068-1357,1357,04,04,,,,,,,,,,,intersection 1944,intersection 1945,,,,,,,,
I10 1069-5719,5719,04,04,,,,,,,,,,,intersection 336,intersection 1944,,,,,,,,
I10 1070-192,192,04,04,,,,,,,,,,,intersection 335,intersection 336,,,,,,,,
I10 1071-4851,4851,04,04,,,,,,,,,,,intersection 3143,intersection 335,,,,,,,,
I10 1072-3201,3201,04,04,,,,,,,,,,,intersection 2455,intersection 3143,,,,,,,,
I10 1073-1877,1877,04,04,,,,,,,,,,,intersection 1384,intersection 2455,,,,,,,,
I10 1074-226,226,04,04,,,,,,,,,,,intersection 390,intersection 391,,,,,,,,
I10 1075-4493,4493,04,04,,,,,,,,,,,intersection 2262,intersection 390,,,,,,,,
I10 1076-2831,2831,04,04,,,,,,,,,,,intersection 1917,intersection 2262,,,,,,,,
I10 1079-4011,4011,04,04,,,,,,,,,,,intersection 1916,intersection 1917,,,,,,,,
I10 1080-4831,4831,04,04,,,,,,,,,,,intersection 2826,intersection 1916,,,,,,,,
I10 1081-3140,3140,04,04,,,,,,,,,,,intersection 3190,intersection 2826,,,,,,,,
I10 1085-2911,2911,04,04,,,,,,,,,,,intersection 848,intersection 3190,,,,,,,,
I10 1087-6178,6178,04,04,,,,,,,,,,,intersection 465,intersection 848,,,,,,,,
I10 1089-2464,2464,04,04,,,,,,,,,,,intersection 464,intersection 465,,,,,,,,
I10 1090-3193,3193,04,04,,,,,,,,,,,intersection 1044,intersection 464,,,,,,,,
I10 1093-4886,4886,04,04,,,,,,,,,,,intersection 1043,intersection 1044,,,,,,,,
I10 1103-2388,2388,04,04,,,,,,,,,,,intersection 2162,intersection 1043,,,,,,,,
I10 1104-1549,1549,04,04,,,,,,,,,,,intersection 2161,intersection 2162,,,,,,,,
I10 1105-6142,6142,04,04,,,,,,,,,,,intersection 2867,intersection 2161,,,,,,,,
I10 1106-4489,4489,04,04,,,,,,,,,,,intersection 1765,intersection 1766,,,,,,,,
I10 1107-2801,2801,04,04,,,,,,,,,,,intersection 3119,intersection 2867,,,,,,,,
I10 1108-5033,5033,04,04,,,,,,,,,,,intersection 610,intersection 1765,,,,,,,,
I10 1109-3410,3410,04,04,,,,,,,,,,,intersection 2941,intersection 3119,,,,,,,,
I10 1110-5081,5081,04,04,,,,,,,,,,,intersection 609,intersection 610,,,,,,,,
I10 1111-3644,3644,04,04,,,,,,,,,,,intersection 1766,intersection 2042,,,,,,,,
I10 1112-2533,2533,04,04,,,,,,,,,,,intersection 1668,intersection 2941,,,,,,,,
I10 1113-1129,1129,04,04,,,,,,,,,,,intersection 1562,intersection 1668,,,,,,,,
I10 1114-5510,5510,04,04,,,,,,,,,,,intersection 3238,intersection 609,,,,,,,,
