Airport,Fleet,AcType,Day,Enabled,Description,EventPhase,Data
EYBD,STRATEGIC,B-747P,0,true,,,0
EYBD,STRATEGIC,C-17,0,true,,,0
EYBD,STRATEGIC,C-5A,0,true,,,0
EYBD,STRATEGIC,CH47,0,true,,,0
EYBD,STRATEGIC,KC-10,0,true,,,0
EZSE,STRATEGIC,B-747P,0,true,,,9999
EZSE,STRATEGIC,C-17,0,true,,,9999
EZSE,STRATEGIC,C-5A,0,true,,,9999
EZSE,STRATEGIC,CH47,0,true,,,0
EZSE,STRATEGIC,KC-10,0,true,,,9999
EZTH,STRATEGIC,B-747P,0,true,,,9999
EZTH,STRATEGIC,C-17,0,true,,,9999
EZTH,STRATEGIC,C-5A,0,true,,,9999
EZTH,STRATEGIC,CH47,0,true,,,0
EZTH,STRATEGIC,KC-10,0,true,,,9999
FAKZ,STRATEGIC,B-747P,0,true,,,9999
FAKZ,STRATEGIC,C-17,0,true,,,9999
FAKZ,STRATEGIC,C-5A,0,true,,,9999
FAKZ,STRATEGIC,CH47,0,true,,,0
FAKZ,STRATEGIC,KC-10,0,true,,,9999
FAXN,STRATEGIC,B-747P,0,true,,,0
FAXN,STRATEGIC,C-17,0,true,,,0
FAXN,STRATEGIC,C-5A,0,true,,,0
FAXN,STRATEGIC,CH47,0,true,,,0
FAXN,STRATEGIC,KC-10,0,true,,,0
FBMV,STRATEGIC,B-747P,0,true,,,9999
FBMV,STRATEGIC,C-17,0,true,,,9999
FBMV,STRATEGIC,C-5A,0,true,,,9999
FBMV,STRATEGIC,CH47,0,true,,,0
FBMV,STRATEGIC,KC-10,0,true,,,9999
FBNV,STRATEGIC,B-747P,0,true,,,0
FBNV,STRATEGIC,C-17,0,true,,,0
FBNV,STRATEGIC,C-5A,0,true,,,0
FBNV,STRATEGIC,CH47,0,true,,,0
FBNV,STRATEGIC,KC-10,0,true,,,0
FERX,STRATEGIC,B-747P,0,true,,,9999
FERX,STRATEGIC,C-17,0,true,,,9999
FERX,STRATEGIC,C-5A,0,true,,,9999
FERX,STRATEGIC,CH47,0,true,,,0
FERX,STRATEGIC,KC-10,0,true,,,9999
