Airport,Day,Enabled,Description,EventPhase,ACType,WorkingMOG,ParkingMOG,HotCargoStatus,Ramp,MOGEquivalent,HoursHome,HoursUpload,HoursEnroute,HoursDownload,HoursRecovery
CURZ,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
CVPF,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
CVPF,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
CVPF,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
CVPF,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
CVVM,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
CVVM,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
CVVM,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
CVVM,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
CWKW,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
CWKW,0,true,,,C-17,4,4,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
CWKW,0,true,,,C-5A,4,4,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
CWKW,0,true,,,KC-10,4,4,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
CYWF,0,true,,,B-747P,5,5,BOTH,CAMPBELL AAF -CYWF-MAP-PARKING,1.9,1.5,3,1.5,3,3
CYWF,0,true,,,C-17,5,5,BOTH,CAMPBELL AAF -CYWF-MAP-PARKING,1,2.25,2.25,2.25,2.25,2.25
CYWF,0,true,,,C-5A,5,5,BOTH,CAMPBELL AAF -CYWF-MAP-PARKING,3,3.25,3.75,3.25,3.25,3.25
CYWF,0,true,,,KC-10,5,5,BOTH,CAMPBELL AAF -CYWF-MAP-PARKING,1.2,1.5,5,1.5,3,3
CZQZ,0,true,,,B-747P,10,10,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
CZQZ,0,true,,,C-17,10,10,BOTH,RAMP1,1,2.25,2.25,2.25,2.25,2.25
CZQZ,0,true,,,C-5A,10,10,BOTH,RAMP1,3,3.25,3.75,3.25,3.25,3.25
CZQZ,0,true,,,KC-10,10,10,BOTH,RAMP1,1.2,1.5,5,1.5,3,3
DCFT,0,true,,,B-747P,4,4,BOTH,RAMP1,1.9,1.5,3,1.5,3,3
