RLN,ServiceCode,ProvidingOrganization,Description,UnitName,PIC,UTC,SIC,UIC,TPSN,ReservedNonBaseline,ProjectCode,ScheduleStatusFlag,ProblemIndicatorFlag,PAX,POL,ULC,AuthPersonnel,TuchaStatus,CritIndicator,CincRdd,SplitCode,FragCode,RelUlnId,OnCallToPod,OnCallToDest,ErrorCode,UlnArr,FtnCode,SRC
0TABC,A,7,"FA BN, 155MM T, ABN",,,1R633,P,,21862,,,,,0,0,BN,0,,,,Y,,,false,false,,,,06435L000
0TABP,A,7,"FA BN, 155MM T, ABN",,,1R633,C,,21862,,,,,581,0,BN,581,,,,Y,,,false,false,,,,06435L000
0TAE1,A,7,FA BTRY MLRS,,,12JJJ,N,,21825,,,,,59,0,BTY,100,,,,Y,,,false,false,,,,
0TAEC,A,7,FA BATTALION MLRS (-),,,171TT,N,,21825,,,,,0,0,BN,0,,,,Y,,,false,false,,,,
0TAEP,A,7,FA BATTALION MLRS (-),,,171TT,N,,21825,,,,,350,0,BN,352,,,,Y,,,false,false,,,,
0VAAC,A,7,HQ HQ DET MI BDE ABN CORP,,,PM4NN,P,,33394,,,,,0,0,HHD,0,,,,Y,,,false,false,,,,
0VAAP,A,7,HQ HQ DET MI BDE ABN CORP,,,PM4NN,C,,33394,,,,,61,0,HHD,62,,,,Y,,,false,false,,,,
0VABC,A,7,OPS BN MI BDE ABN,,,P6TTT,P,,33350,,,,,0,0,BN,0,,,,Y,,,false,false,,,,
0VABP,A,7,OPS BN MI BDE ABN,,,P6TTT,C,,33350,,,,,489,0,BN,489,,,,Y,,,false,false,,,,
0YABC,A,7,"AVN MAINT CO, ABN  AH 64",,,3MPNN,P,,01082,,,,,0,0,CO,219,,,,Y,,,false,false,,,,
0YABP,A,7,"AVN MAINT CO, ABN  AH 64",,,3MPNN,C,,01082,,,,,219,0,CO,219,,,,Y,,,false,false,,,,
0YACC,A,7,"ATK HEL BN, ABN  AH 64",,,3PPNN,P,,01082,,,,,0,0,BN,0,,,,Y,,,false,false,,,,
0YACP,A,7,"ATK HEL BN, ABN  AH 64",,,3PPNN,C,,01082,,,,,252,0,BN,252,,,,Y,,,false,false,,,,
0YADC,A,7,"HHB, DIVARTY AIRBORNE",,,14SNN,P,,01082,,,,,0,0,HHB,144,,,,Y,,,false,false,,,,06202L000
0YADP,A,7,"HHB, DIVARTY AIRBORNE",,,14SNN,C,,01082,,,,,118,0,HHB,118,,,,Y,,,false,false,,,,06202L000
0YAFC,A,7,"FA BN,105MM T  ABN AOE",,,1R444,P,,01082,,,,,0,0,BN,0,,,,Y,,,false,false,,,,06205L000
0YAFP,A,7,"FA BN,105MM T  ABN AOE",,,1R444,C,,01082,,,,,449,0,BN,449,,,,Y,,,false,false,,,,06205L000
0YB C,A,7,INTEL SURVL CO MI BN ABN,,,PD4NN,P,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
0YB P,A,7,INTEL SURVL CO MI BN ABN,,,PD4NN,C,,01082,,,,,70,0,CO,70,,,,Y,,,false,false,,,,
0YB3C,A,7,CMD COMMM CO  ABN,,,6A444,P,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,
0YB3P,A,7,CMD COMMM CO  ABN,,,6A444,C,,01082,,,,,204,0,CO,211,,,,Y,,,false,false,,,,
0YB4C,A,7,HHC SIG BN  ABN,,,65444,P,,01082,,,,,0,0,HHC,0,,,,Y,,,false,false,,,,
0YB4P,A,7,HHC SIG BN  ABN,,,65444,C,,01082,,,,,111,0,HHC,111,,,,Y,,,false,false,,,,
0YBAC,A,7,"ENGR CO, ENGR BN, ABN DIV",,,44RNN,P,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,05027L000
0YBAP,A,7,"ENGR CO, ENGR BN, ABN DIV",,,44RNN,C,,01082,,,,,94,0,CO,94,,,,Y,,,false,false,,,,05027L000
0YBBC,A,7,"ENGR CO, ENGR BN, ABN DIV",,,44RNN,P,,01082,,,,,0,0,CO,0,,,,Y,,,false,false,,,,05027L000
0YBBP,A,7,"ENGR CO, ENGR BN, ABN DIV",,,44RNN,C,,01082,,,,,94,0,CO,94,,,,Y,,,false,false,,,,05027L000
0YBCC,A,7,"HHC, ENGR BN, ABN DIV",,,43RNN,P,,01082,,,,,0,0,HHC,0,,,,Y,,,false,false,,,,05026L000
0YBCP,A,7,"HHC, ENGR BN, ABN DIV",,,43RNN,C,,01082,,,,,153,0,HHC,153,,,,Y,,,false,false,,,,05026L000
