RLN,Origin,RLD,POEModeSource,POE,ALD,PODModeSource,POD,EAD,LAD,DestModeSource,Destination,RDD,JopesPriority,PriorityAddOn,PODDischargeConstraint,PODLoadConfigCode,DestDischargeConstraint,DestLoadConfigCode
0HEHC,HGBZ,0,LG,QTUP,14,SE,HNTS,20,23,LD,HNTM,24,214,,,,,
0HEHP,HGBZ,0,LM,DKFX,20,AK,HNTK,20,23,LD,HNTM,24,214,,,,,
0HHD,HCTL,0,LM,TMKH,26,AK,HNTK,26,28,LD,HPBF,30,214,,,,,
0HNBC,HERT,0,LG,QTUP,14,SE,HNTS,20,23,LD,HNTM,24,214,,,,,
0HNBP,HERT,0,LM,MUHJ,20,AK,HNTK,20,23,LD,HNTM,24,214,,,,,
0HVCC,HKBN,0,LG,QTUP,14,SE,HNTS,20,23,LD,HNTM,24,214,,,,,
0HVCP,HKBN,0,LM,GUQE,20,AK,HNTK,20,23,LD,HNTM,24,214,,,,,
0J1EC,HKNN,0,LG,UTAC,16,SE,HNTS,34,38,LD,HPBF,40,214,,,,,
0J1EP,HKNN,0,LM,FNWZ,34,AK,HNTK,34,38,XX,HPBF,38,214,,,,,
0JAAC,HDDL,0,LG,ZBES,14,SE,HNTS,17,21,LD,HNTM,22,214,,,,,
0JAAP,HDDL,0,LG,TDHV,17,AK,HNTK,17,21,LD,HNTM,22,214,,,,,
0JKBC,HEKP,0,LG,ZBES,14,SE,HNTS,17,21,LD,HNTM,22,214,,,,,
0JKBP,HEKP,0,LG,PTFL,17,AK,HNTK,17,21,LD,HNTM,22,214,,,,,
0JLBC,HKLN,0,LG,ZBES,14,SE,HNTS,17,21,LD,HNTM,22,214,,,,,
0JLDP,HFDZ,0,LG,LEXG,17,AK,HNTK,17,21,LD,HNTM,22,214,,,,,
0JXC,HGSH,0,LG,YWHG,22,AK,HNTK,22,30,LD,HPBF,32,214,,,,,
0KFA,HFTZ,0,LH,DKSD,15,SE,HNTS,24,31,LD,VKNG,32,214,,,,,
0KFBC,HFTZ,15,LG,SBEA,26,SE,HNTS,35,40,LD,WSVC,43,214,,,,,
0KFBP,HFTZ,15,LM,UHGN,37,AK,FUQN,35,40,LD,WSVC,43,214,,,,,
0KGA,HFTZ,0,LH,DKSD,14,SE,VKNP,24,31,LD,VKNG,32,214,,,,,
0KGBC,HGQH,0,LG,ZBES,14,SE,HNTS,17,21,LD,HNTM,22,214,,,,,
0KGBP,HGQH,0,LG,MUHJ,17,AK,HNTK,17,21,LD,HNTM,22,214,,,,,
0KHA,HFTZ,0,LH,DKSD,17,SE,HNTS,24,31,LD,VKNG,32,214,,,,,
0LAA,HCTL,0,LG,TMKH,22,AK,FUQN,22,27,LD,WSVC,27,214,,,,,
0LAB,HCTL,17,LG,TMKH,19,AK,FUQN,19,20,LD,WSVC,20,214,,,,,
0LBGC,HFTZ,15,LG,SBEA,26,SE,HNTS,35,40,LD,WSVC,43,214,,,,,
0LBGP,HFTZ,15,LG,UHGN,37,AK,FUQN,35,40,LD,WSVC,43,214,,,,,
0MAAC,HCML,0,LG,ZBES,14,SE,HNTS,17,21,LD,HNTM,22,214,,,,,
0MAAP,HCML,0,LG,PNQS,17,AK,HNTK,17,21,LD,HNTM,22,214,,,,,
0MBDC,HCTL,0,LG,QTUP,14,SE,HNTS,20,23,LD,HNTM,24,214,,,,,
0MBDP,HCTL,0,LM,TMKH,20,AK,HNTK,20,23,LD,HNTM,24,214,,,,,
0MBKC,HEKP,0,LG,QTUP,16,SE,HNTS,20,23,LD,HNTM,24,214,,,,,
0MBKP,HEKP,0,LM,PTFL,20,AK,HNTK,20,23,LD,HNTM,24,214,,,,,
0NACC,HCTL,0,LM,DKSD,15,SE,HNTS,24,28,LD,HPBF,30,214,,,,,
0NACP,HCTL,0,LM,TMKH,24,AK,HNTK,24,28,LD,HPBF,30,214,,,,,
0QAAC,HCTL,0,LG,QTUP,16,SE,HNTS,24,26,LD,WSVC,26,214,,,,,
0QAAP,HCTL,0,LM,TMKH,24,AK,FUQN,24,26,LD,WSVC,26,214,,,,,
0QAEC,HKNN,0,LG,DKSD,14,SE,VKNP,22,30,LD,HPBF,32,214,,,,,
0QAEP,HKNN,0,LG,FNWZ,23,AK,HNTK,22,30,LD,HPBF,32,214,,,,,
0QAFC,HCTL,0,LG,QTUP,16,SE,HNTS,24,26,LD,WSVC,26,214,,,,,
0QAFP,HCTL,0,LM,TMKH,24,AK,FUQN,24,26,LD,WSVC,26,214,,,,,
0QBJ,HGSH,0,LG,YWHG,22,AK,HNTK,22,25,LD,HPBF,32,214,,,,,
0RAAC,HCTL,0,LG,QTUP,16,SE,HNTS,24,26,LD,WSVC,26,214,,,,,
0RAAP,HCTL,0,LM,TMKH,24,AK,FUQN,24,26,LD,WSVC,26,214,,,,,
0TABC,HCTL,0,LG,QTUP,16,SE,HNTS,24,26,LD,WSVC,26,214,,,,,
0TABP,HCTL,0,LM,TMKH,24,AK,FUQN,24,26,LD,WSVC,26,214,,,,,
0TAE1,HKNN,0,LG,QTUP,16,SE,HNTS,26,30,LD,WSVC,32,214,,,,,
0TAEC,HKNN,0,LG,DKSD,15,SE,HNTS,26,30,LD,WSVC,32,214,,,,,
0TAEP,HKNN,0,LG,FNWZ,26,AK,FUQN,26,30,LD,WSVC,32,214,,,,,
0VAAC,HCTL,0,LG,QTUP,14,SE,HNTS,24,26,LD,WSVC,26,214,,,,,
0VAAP,HCTL,0,LM,TMKH,24,AK,FUQN,24,26,LD,WSVC,26,214,,,,,
0VABC,HCTL,0,LG,QTUP,16,SE,HNTS,24,26,LD,WSVC,26,214,,,,,
0VABP,HCTL,0,LM,TMKH,25,AK,FUQN,24,26,LD,WSVC,26,214,,,,,
